date,habit,value
2025-01-14,weightlifting,30
2025-01-13,weightlifting,30
2025-01-12,weightlifting,60
2025-01-11,weightlifting,30
2025-01-10,weightlifting,30
2025-01-09,weightlifting,70
2025-01-08,weightlifting,30
2025-01-07,weightlifting,30
2025-01-06,weightlifting,30
2025-01-05,weightlifting,80
2025-01-04,weightlifting,30
2025-01-03,weightlifting,30
2025-01-02,weightlifting,30
2025-01-01,weightlifting,30
2024-12-31,weightlifting,10
2024-12-30,weightlifting,30
2024-12-29,weightlifting,30
2024-12-28,weightlifting,30
2024-12-27,weightlifting,30
2024-12-26,weightlifting,30
2024-12-25,weightlifting,130
2024-12-24,weightlifting,30
2024-12-23,weightlifting,30
2024-12-22,weightlifting,30
2024-12-21,weightlifting,30
2024-12-20,weightlifting,200
2024-12-19,weightlifting,30
2024-12-18,weightlifting,30
2024-12-17,weightlifting,30
2024-12-16,weightlifting,30
2024-12-14,weightlifting,30
2024-12-13,weightlifting,30
2025-01-14,running,12
2025-01-13,running,10
2025-01-12,running,30
2025-01-11,running,5
2025-01-10,running,10
2025-01-07,running,10.7
2025-01-06,running,9.8
2025-01-05,running,8.9
2025-01-04,running,8
2025-01-03,running,7.1
2025-01-02,running,6.2
2025-01-01,running,5.3
2024-12-31,running,4.4
2024-12-30,running,3.5
2024-12-29,running,2.6
2024-12-28,running,1.7
2024-12-27,running,0.8
2024-12-26,running,11.1
2024-12-25,running,8
2024-12-24,running,9.9
2024-12-23,running,-2.8
2024-12-22,running,6.7
2024-12-21,running,4.6
2024-12-20,running,5.5
2024-12-19,running,16.4
2025-01-14,walking,500
2025-01-13,walking,8000
2025-01-12,walking,600
2025-01-11,walking,1500
2025-01-10,walking,7550
2025-01-09,walking,3690
2025-01-08,walking,2542
2025-01-07,walking,2335
2025-01-06,walking,8000
2025-01-05,walking,7456
2025-01-04,walking,600
2025-01-03,walking,1500
2025-01-02,walking,7550
2025-01-01,walking,3690
2024-12-30,walking,2335
2024-12-29,walking,8000
2024-12-28,walking,7456
2024-12-27,walking,5489
2025-01-14,basketball,1
2025-01-07,basketball,2
2024-12-31,basketball,3
2024-12-24,basketball,1
2024-12-17,basketball,2
2024-12-10,basketball,1.5
2024-12-03,basketball,5
2025-01-14,pushups,100
2025-01-13,pushups,50
2025-01-12,pushups,60
2025-01-11,pushups,40
2025-01-10,pushups,40
2025-01-09,pushups,80
2025-01-08,pushups,54
2025-01-07,pushups,62
2025-01-06,pushups,50
2025-01-05,pushups,60
2025-01-04,pushups,40
2025-01-03,pushups,40
2025-01-02,pushups,80
2025-01-01,pushups,54
2024-12-31,pushups,62
2024-12-30,pushups,50
2024-12-29,pushups,60
2024-12-28,pushups,40
2024-12-27,pushups,40
2024-12-26,pushups,80
2024-12-25,pushups,54
2024-12-24,pushups,62
2024-12-23,pushups,54
2024-12-22,pushups,21
2024-12-21,pushups,62
2024-12-20,pushups,54
2024-12-19,pushups,21
2024-12-18,pushups,62
2024-12-17,pushups,54
2024-12-16,pushups,21
2024-12-14,pushups,62
2024-12-13,pushups,54
2025-01-08,situps,54
2025-01-07,situps,62
2025-01-06,situps,50
2025-01-05,situps,60
2025-01-04,situps,40
2025-01-03,situps,40
2025-01-02,situps,80
2025-01-01,situps,54
2024-12-31,situps,62
2024-12-30,situps,50
2024-12-29,situps,60
2024-12-28,situps,40
2024-12-27,situps,40
2024-12-26,situps,80
2024-12-25,situps,54
2024-12-24,situps,62
2024-12-23,situps,54
2024-12-22,situps,21
2024-12-21,situps,62
2024-12-20,situps,54
2024-12-19,situps,21
2024-12-18,situps,62
2024-12-17,situps,54
2024-12-16,situps,21
2024-12-14,situps,62
2024-12-13,situps,54
