date,habit,value
2025-01-27,reading,10
2025-01-27,exercise,60
2025-01-26,reading,10
2025-01-25,reading,10
2025-01-24,reading,10
2025-01-23,reading,10
2025-01-22,reading,10
2025-01-21,reading,10
2025-01-20,reading,10
2025-01-20,exercise,60
2025-01-19,reading,10
2025-01-18,reading,10
2025-01-17,reading,10
2025-01-16,reading,10
2025-01-15,reading,10
2025-01-14,reading,10
2025-01-13,reading,10
2025-01-13,exercise,60
2025-01-12,reading,10
2025-01-11,reading,10
2025-01-10,reading,10
2025-01-09,reading,10
2025-01-08,reading,10
2025-01-07,reading,10
2025-01-06,reading,10
2025-01-06,exercise,60
2025-01-05,reading,10
2025-01-04,reading,10
2025-01-03,reading,10
2025-01-02,reading,10
2025-01-01,reading,10
2024-12-31,reading,10
2024-12-30,reading,10
2024-12-30,exercise,60
2024-12-29,reading,10
2024-12-28,reading,10
2024-12-27,reading,10
2024-12-26,reading,10
2024-12-25,reading,10
2024-12-24,reading,10
2025-01-20,meditation,30
2025-01-27,meditation,45
